image_id,filename,relative_image_path,image_path,source_status,source_error_type,source_visual_description,source_gate,source_summary,final_gate,final_summary,reviewed,reviewer,note
priv_d_0001,priv_d_0001.jpg,../../images/priv_d_0001.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0001.jpg,CONFIRMED,NONE,Ảnh chụp nhóm người đứng ngoài đường ban đêm kèm dòng chữ chia sẻ cá nhân.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0002,priv_d_0002.jpg,../../images/priv_d_0002.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0002.jpg,CONFIRMED,NONE,Ảnh chụp thực tế hai chai uốn tóc SELiQUE Multi Olive 1 410g màu trắng nắp xanh lá trong xưởng/kho hàng.,PRESENT,Ảnh chụp thực tế hai chai thuốc uốn tóc Obsidian SELiQUE Multi Olive 1 dung tích 410g trên tay người cầm và các thùng hàng phía sau,PRESENT,Ảnh chụp thực tế hai chai thuốc uốn tóc Obsidian SELiQUE Multi Olive 1 dung tích 410g trên tay người cầm và các thùng hàng phía sau,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0003,priv_d_0003.jpg,../../images/priv_d_0003.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0003.jpg,CONFIRMED,NONE,Banner quảng cáo hai hũ smoothie tẩy da chết Dove hương hoa anh đào 298g với hoa anh đào và chất kem mịn.,PRESENT,Banner quảng cáo sản phẩm smoothie tẩy da chết Dove hương hoa anh đào gồm hai hũ 298g trên nền hồng,PRESENT,Banner quảng cáo sản phẩm smoothie tẩy da chết Dove hương hoa anh đào gồm hai hũ 298g trên nền hồng,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0004,priv_d_0004.jpg,../../images/priv_d_0004.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0004.jpg,CONFIRMED,NONE,Ảnh chụp 3 cây mascara Maybelline Hyper Curl Waterproof nắp tím ánh kim kèm hình minh họa đầu cọ và công dụng.,PRESENT,Ảnh giới thiệu ba cây mascara Maybelline New York Hyper Curl Waterproof đặt trên đĩa sứ kèm hình minh họa mắt chuốt mi,PRESENT,Ảnh giới thiệu ba cây mascara Maybelline New York Hyper Curl Waterproof đặt trên đĩa sứ kèm hình minh họa mắt chuốt mi,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0005,priv_d_0005.jpg,../../images/priv_d_0005.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0005.jpg,CONFIRMED,NONE,Ảnh thiết kế không gian nội thất phòng ngủ với giường nệm và bàn trang điểm tone màu be ấm.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0006,priv_d_0006.jpg,../../images/priv_d_0006.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0006.jpg,CONFIRMED,NONE,Ảnh chụp nhiều khay bánh bao tạo hình con vật dễ thương nhân xúc xích và phô mai nướng tại tiệm LyLy Bakery.,PRESENT,Ảnh chụp các khay bánh bao tạo hình hoạt hình ngộ nghĩnh kẹp xúc xích và phô mai của tiệm LyLy Bakery,PRESENT,Ảnh chụp các khay bánh bao tạo hình hoạt hình ngộ nghĩnh kẹp xúc xích và phô mai của tiệm LyLy Bakery,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0007,priv_d_0007.jpg,../../images/priv_d_0007.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0007.jpg,CONFIRMED,NONE,Ảnh chụp cận cảnh tay người cầm hai cuốn sách truyện dày xếp chồng lên nhau.,ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0008,priv_d_0008.jpg,../../images/priv_d_0008.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0008.jpg,CONFIRMED,NONE,"Ảnh chụp hai phần cơm khay thức ăn nhanh Yami gồm mì xào, khoai tây chiên, kimbap chiên xù, xúc xích và gà rán.",PRESENT,"Ảnh chụp hai khay đồ ăn nhanh Combo 3 và Combo 4 gồm mì xào, khoai tây chiên, kimbap chiên và đùi gà rán thương hiệu Yami",PRESENT,"Ảnh chụp hai khay đồ ăn nhanh Combo 3 và Combo 4 gồm mì xào, khoai tây chiên, kimbap chiên và đùi gà rán thương hiệu Yami",TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0009,priv_d_0009.jpg,../../images/priv_d_0009.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0009.jpg,CONFIRMED,NONE,Bảng menu đồ ăn vặt và các loại trà sữa nhiều vị trang trí lồng đèn đỏ phong cách truyền thống.,PRESENT,"Menu quảng cáo các món ăn vặt và đồ uống như khoai lang kén, nem chua rán, trà sữa matcha, trà măng cụt",PRESENT,"Menu quảng cáo các món ăn vặt và đồ uống như khoai lang kén, nem chua rán, trà sữa matcha, trà măng cụt",TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
priv_d_0010,priv_d_0010.jpg,../../images/priv_d_0010.jpg,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0010.jpg,CONFIRMED,NONE,"Ảnh chụp không gian phòng ngủ với giường nệm đôi, đèn ngủ để bàn và kệ gỗ để khăn.",ABSENT,,ABSENT,,TRUE,multi-agent-visual-audit,Automated three-agent visual audit; FMCG_ONLY policy; source report agent_0001_0133.json.
