image_id,filename,is_negative,verification_status,reward_points,error_type,ground_truth_label,visual_description,filepath
priv_d_0001,priv_d_0001.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp nhóm người đứng ngoài đường ban đêm kèm dòng chữ chia sẻ cá nhân.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0001.jpg
priv_d_0002,priv_d_0002.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp thực tế hai chai thuốc uốn tóc Obsidian SELiQUE Multi Olive 1 dung tích 410g trên tay người cầm và các thùng hàng phía sau,Ảnh chụp thực tế hai chai uốn tóc SELiQUE Multi Olive 1 410g màu trắng nắp xanh lá trong xưởng/kho hàng.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0002.jpg
priv_d_0003,priv_d_0003.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Banner quảng cáo sản phẩm smoothie tẩy da chết Dove hương hoa anh đào gồm hai hũ 298g trên nền hồng,Banner quảng cáo hai hũ smoothie tẩy da chết Dove hương hoa anh đào 298g với hoa anh đào và chất kem mịn.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0003.jpg
priv_d_0004,priv_d_0004.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh giới thiệu ba cây mascara Maybelline New York Hyper Curl Waterproof đặt trên đĩa sứ kèm hình minh họa mắt chuốt mi,Ảnh chụp 3 cây mascara Maybelline Hyper Curl Waterproof nắp tím ánh kim kèm hình minh họa đầu cọ và công dụng.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0004.jpg
priv_d_0005,priv_d_0005.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh thiết kế không gian nội thất phòng ngủ với giường nệm và bàn trang điểm tone màu be ấm.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0005.jpg
priv_d_0006,priv_d_0006.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp các khay bánh bao tạo hình hoạt hình ngộ nghĩnh kẹp xúc xích và phô mai của tiệm LyLy Bakery,Ảnh chụp nhiều khay bánh bao tạo hình con vật dễ thương nhân xúc xích và phô mai nướng tại tiệm LyLy Bakery.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0006.jpg
priv_d_0007,priv_d_0007.jpg,YES (Empty Target),CONFIRMED,0,NONE,,Ảnh chụp cận cảnh tay người cầm hai cuốn sách truyện dày xếp chồng lên nhau.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0007.jpg
priv_d_0008,priv_d_0008.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,"Ảnh chụp hai khay đồ ăn nhanh Combo 3 và Combo 4 gồm mì xào, khoai tây chiên, kimbap chiên và đùi gà rán thương hiệu Yami","Ảnh chụp hai phần cơm khay thức ăn nhanh Yami gồm mì xào, khoai tây chiên, kimbap chiên xù, xúc xích và gà rán.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0008.jpg
priv_d_0009,priv_d_0009.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,"Menu quảng cáo các món ăn vặt và đồ uống như khoai lang kén, nem chua rán, trà sữa matcha, trà măng cụt",Bảng menu đồ ăn vặt và các loại trà sữa nhiều vị trang trí lồng đèn đỏ phong cách truyền thống.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0009.jpg
priv_d_0010,priv_d_0010.jpg,YES (Empty Target),CONFIRMED,0,NONE,,"Ảnh chụp không gian phòng ngủ với giường nệm đôi, đèn ngủ để bàn và kệ gỗ để khăn.",C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0010.jpg
priv_d_0011,priv_d_0011.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Banner quảng cáo chuốt mi BROWIT By Nongchat Lift & Lock Mascara màu Sexy Black kèm bao bì hộp và cọ chuốt,Banner quảng cáo mascara Browit by Nongchat Lift & Lock màu đen kèm mô tả công dụng làm tơi mi và dưỡng mi.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0011.jpg
priv_d_0012,priv_d_0012.jpg,NO (Positive FMCG),CONFIRMED,0,NONE,Ảnh chụp cận cảnh cuộn bánh Matcha roll kem tươi phủ bột trà xanh cắt lát trên đĩa sứ trắng,Ảnh chụp các phần bánh cuộn kem matcha phủ bột trà xanh mịn màng trên đĩa sứ trắng.,C:\HCMUT\Projects\HACKATHON\2nd_URA\images\priv_d_0012.jpg
